Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint01_testsuite01,Chrome 73.0.3683.103,,2019-04-15 15:19:30,2019-04-15 15:19:48,17.808s,PASSED
,,,,,,
Test Cases/Login_Portal,Chrome 73.0.3683.103,,2019-04-15 15:19:31,2019-04-15 15:19:40,9.889s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-15 15:19:31,2019-04-15 15:19:36,4.781s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.103,,2019-04-15 15:19:36,2019-04-15 15:19:39,2.912s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-15 15:19:39,2019-04-15 15:19:40,1.141s,PASSED
"waitForElementVisible(findTestObject(""MakeanOpp123""), 20)",Chrome 73.0.3683.103,,2019-04-15 15:19:40,2019-04-15 15:19:40,0.073s,PASSED
"click(findTestObject(""MakeanOpp123""))",Chrome 73.0.3683.103,,2019-04-15 15:19:40,2019-04-15 15:19:40,0.456s,PASSED
,,,,,,
Test Cases/Login as Admin,Chrome 73.0.3683.103,,2019-04-15 15:19:40,2019-04-15 15:19:43,2.051s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/username""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:19:41,2019-04-15 15:19:41,0.030s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/username""), findTestData(""21cv/21cvtestdata"").getValue(1, 1))",Chrome 73.0.3683.103,,2019-04-15 15:19:41,2019-04-15 15:19:42,0.906s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:19:42,2019-04-15 15:19:42,0.023s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), findTestData(""21cv/21cvtestdata"").getValue(2, 1))",Chrome 73.0.3683.103,,2019-04-15 15:19:42,2019-04-15 15:19:42,0.141s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Login_btn""))",Chrome 73.0.3683.103,,2019-04-15 15:19:42,2019-04-15 15:19:43,0.651s,PASSED
,,,,,,
Test Cases/Booking Appoinment,Chrome 73.0.3683.103,,2019-04-15 15:19:43,2019-04-15 15:19:47,4.600s,PASSED
"waitForElementPresent(findTestObject(""Make an appoinment/Checkbox""), 10)",Chrome 73.0.3683.103,,2019-04-15 15:19:43,2019-04-15 15:19:43,0.039s,PASSED
"click(findTestObject(""Make an appoinment/Checkbox""))",Chrome 73.0.3683.103,,2019-04-15 15:19:43,2019-04-15 15:19:43,0.087s,PASSED
"setText(findTestObject(""Object Repository/Make an appoinment/Comment textbox""), ""Confirmed booking on sunday"")",Chrome 73.0.3683.103,,2019-04-15 15:19:43,2019-04-15 15:19:43,0.345s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/Calander Icon""))",Chrome 73.0.3683.103,,2019-04-15 15:19:43,2019-04-15 15:19:44,0.156s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Make an appoinment/DateSelector""), 10)",Chrome 73.0.3683.103,,2019-04-15 15:19:44,2019-04-15 15:19:44,0.031s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/DateSelector""))",Chrome 73.0.3683.103,,2019-04-15 15:19:44,2019-04-15 15:19:44,0.071s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-15 15:19:44,2019-04-15 15:19:47,3.028s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/Booking""))",Chrome 73.0.3683.103,,2019-04-15 15:19:47,2019-04-15 15:19:47,0.442s,PASSED
