Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint01_testsuite01,Chrome 73.0.3683.103,,2019-04-15 15:26:42,2019-04-15 15:26:58,16.150s,PASSED
,,,,,,
Test Cases/Login_Portal,Chrome 73.0.3683.103,,2019-04-15 15:26:42,2019-04-15 15:26:51,8.727s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-15 15:26:43,2019-04-15 15:26:46,3.626s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.103,,2019-04-15 15:26:46,2019-04-15 15:26:49,3.100s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-15 15:26:49,2019-04-15 15:26:51,1.141s,PASSED
"waitForElementVisible(findTestObject(""MakeanOpp123""), 20)",Chrome 73.0.3683.103,,2019-04-15 15:26:51,2019-04-15 15:26:51,0.066s,PASSED
"click(findTestObject(""MakeanOpp123""))",Chrome 73.0.3683.103,,2019-04-15 15:26:51,2019-04-15 15:26:51,0.465s,PASSED
,,,,,,
Test Cases/Login as Admin,Chrome 73.0.3683.103,,2019-04-15 15:26:51,2019-04-15 15:26:53,1.940s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/username""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:26:51,2019-04-15 15:26:51,0.040s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/username""), findTestData(""21cv/21cvtestdata"").getValue(1, 1))",Chrome 73.0.3683.103,,2019-04-15 15:26:51,2019-04-15 15:26:52,0.815s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), 5)",Chrome 73.0.3683.103,,2019-04-15 15:26:52,2019-04-15 15:26:52,0.028s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), findTestData(""21cv/21cvtestdata"").getValue(2, 1))",Chrome 73.0.3683.103,,2019-04-15 15:26:52,2019-04-15 15:26:52,0.153s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Login_btn""))",Chrome 73.0.3683.103,,2019-04-15 15:26:52,2019-04-15 15:26:53,0.630s,PASSED
,,,,,,
Test Cases/Booking Appoinment,Chrome 73.0.3683.103,,2019-04-15 15:26:53,2019-04-15 15:26:57,4.275s,PASSED
"waitForElementPresent(findTestObject(""Make an appoinment/Checkbox""), 10)",Chrome 73.0.3683.103,,2019-04-15 15:26:53,2019-04-15 15:26:53,0.030s,PASSED
"click(findTestObject(""Make an appoinment/Checkbox""))",Chrome 73.0.3683.103,,2019-04-15 15:26:53,2019-04-15 15:26:53,0.072s,PASSED
"setText(findTestObject(""Object Repository/Make an appoinment/Comment textbox""), ""Confirmed booking on sunday"")",Chrome 73.0.3683.103,,2019-04-15 15:26:53,2019-04-15 15:26:54,0.215s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/Calander Icon""))",Chrome 73.0.3683.103,,2019-04-15 15:26:54,2019-04-15 15:26:54,0.135s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Make an appoinment/DateSelector""), 10)",Chrome 73.0.3683.103,,2019-04-15 15:26:54,2019-04-15 15:26:54,0.031s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/DateSelector""))",Chrome 73.0.3683.103,,2019-04-15 15:26:54,2019-04-15 15:26:54,0.084s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-15 15:26:54,2019-04-15 15:26:57,3.023s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/Booking""))",Chrome 73.0.3683.103,,2019-04-15 15:26:57,2019-04-15 15:26:57,0.485s,PASSED
